번호	성분명(한글)	표준 영문명(INCI)	상태
1	1,2-헥산다이올	(영문명 미기재)	표준명 있음
2	2,3-부탄다이올	(영문명 미기재)	표준명 있음
3	C12-14알케스-12	C12-14 Alketh-12	표준명 있음
4	C30-45알킬세테아릴다이메티콘크로스폴리머	C30-45 Alkyl Cetearyl Dimethicone Crosspolymer	표준명 있음
5	t-부틸알코올	t-Butyl Alcohol	표준명 있음
6	감나무잎추출물	Diospyros Kaki Leaf Extract	표준명 있음
7	감초추출물	Glycyrrhiza Uralensis (Licorice) Extract	표준명 있음
8	개박하추출물	Nepeta Cataria Extract	표준명 있음
9	검은뽕나무열매추출물	Morus Nigra Fruit Extract	표준명 있음
10	광곽향오일	Pogostemon Cablin Oil	표준명 있음
11	귀리커넬추출물	Avena Sativa (Oat) Kernel Extract	표준명 있음
12	글라이코프로테인	Glycoproteins	표준명 있음
13	글루타티온	Glutathione	표준명 있음
14	글리세린	Glycerin	표준명 있음
15	글리세릴스테아레이트	(영문명 미기재)	표준명 있음
16	글리세릴스테아레이트에스이	Glyceryl Stearate SE	표준명 있음
17	글리세릴카프릴레이트	Glyceryl Caprylate	표준명 있음
18	글리세릴폴리메타크릴레이트	Glyceryl Polymethacrylate	표준명 있음
19	나이아신아마이드	Niacinamide	표준명 있음
20	녹차추출물	Camellia Sinensis Leaf Extract	표준명 있음
21	다마스크장미꽃수	Rosa Damascena Flower Water	표준명 있음
22	다시마추출물	Laminaria Japonica Extract	표준명 있음
23	다이메티콘	Methyleugenyl PEG-8 Dimethicone	표준명 있음
24	다이메티콘/비닐다이메티콘크로스폴리머	PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer	표준명 있음
25	다이메티콘올	Dimethiconol	표준명 있음
26	다이메틸아이소소바이드	Dimethyl Isosorbide	표준명 있음
27	다이부틸아디페이트	Dibutyl Adipate	표준명 있음
28	다이소듐이디티에이	Disodium EDTA	표준명 있음
29	다이스테아다이모늄헥토라이트	Disteardimonium Hectorite	표준명 있음
30	다이실록세인	Disiloxane	표준명 있음
31	다이아이소프로필세바케이트	Diisopropyl Sebacate	표준명 있음
32	다이카프릴릴에테르		표준명 없음
33	다이카프릴릴카보네이트	Dicaprylyl Carbonate	표준명 있음
34	다이페닐다이메티콘	Diphenyl Dimethicone	표준명 있음
35	다이프로필렌글라이콜	Dipropylene Glycol	표준명 있음
36	달맞이꽃꽃추출물	Oenothera Biennis (Evening Primrose) Flower Extract	표준명 있음
37	당근추출물	Daucus Carota Sativa (Carrot) Root Extract	표준명 있음
38	당느릅나무뿌리추출물	Ulmus Davidiana Root Extract	표준명 있음
39	대왕소나무잎추출물	Pinus Palustris Leaf Extract	표준명 있음
40	데실글루코사이드	Decyl Glucoside	표준명 있음
41	덱스트린	Dextrin	표준명 있음
42	돌콩오일	Glycine Soja (Soybean) Oil	표준명 있음
43	동백나무꽃추출물	Camellia Japonica Flower Extract	표준명 있음
44	드럼스틱씨오일	Moringa Oleifera Seed Oil	표준명 있음
45	들깨추출물	Perilla Ocymoides Seed Extract	표준명 있음
46	디에칠아미노하이드록시벤조일헥실벤조에이트	Diethylamino Hydroxybenzoyl Hexyl Benzoate	표준명 있음
47	디에칠헥실부타미도트리아존	Diethylhexyl Butamido Triazone	표준명 있음
48	라벤더꽃추출물	Lavandula Angustifolia (Lavender) Flower Extract	표준명 있음
49	라우릭애씨드	Lauric Acid	표준명 있음
50	라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘	Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone	표준명 있음
51	락토바실러스/쌀발효물	Lactobacillus/Rice Ferment	표준명 있음
52	락토바실러스/호박발효추출물	Lactobacillus/Pumpkin Ferment Extract	표준명 있음
53	락토바실러스발효물	Lactobacillus Ferment	표준명 있음
54	락토바이오닉애씨드	Lactobionic Acid	표준명 있음
55	락토오스	Lactose	표준명 있음
56	레티놀	Retinol	표준명 있음
57	레틴알	Retinal	표준명 있음
58	로즈마리잎오일	Rosmarinus Officinalis (Rosemary) Leaf Oil	표준명 있음
59	리날룰	Linalool	표준명 있음
60	리모넨	Limonene	표준명 있음
61	리씨열매오일	Litsea Cubeba Fruit Oil	표준명 있음
62	마그네슘설페이트	Magnesium Sulfate	표준명 있음
63	마그네슘알루미늄실리케이트	Magnesium Aluminum Silicate	표준명 있음
64	마데카소사이드	Madecassoside	표준명 있음
65	마데카식애씨드	Madecassic Acid	표준명 있음
66	마카다미아씨오일	(영문명 미기재)	표준명 있음
67	말라카이트추출물	Malachite Extract	표준명 있음
68	말토덱스트린	Maltodextrin	표준명 있음
69	메칠렌비스-벤조트리아졸릴테트라메칠부틸페놀	Methylene Bis-Benzotriazolyl Tetramethylbutylphenol	표준명 있음
70	메틸메타크릴레이트크로스폴리머	Methyl Methacrylate Crosspolymer	표준명 있음
71	메틸프로판다이올	Methylpropanediol	표준명 있음
72	멜론추출물	Cucumis Melo (Melon) Fruit Extract	표준명 있음
73	모나스커스/쌀발효물	Monascus/Rice Ferment	표준명 있음
74	무화과추출물	Ficus Carica (Fig) Fruit Extract	표준명 있음
75	미리스틱애씨드	Myristic Acid	표준명 있음
76	밀몽화꽃추출물	Buddleja Officinalis Flower Extract	표준명 있음
77	바실러스/소이빈발효추출물	Bacillus/Soybean Ferment Extract	표준명 있음
78	바오밥나무잎추출물	Adansonia Digitata Leaf Extract	표준명 있음
79	바이오사카라이드검-1	Biosaccharide Gum-1	표준명 있음
80	베타-글루칸	Beta-Glucan	표준명 있음
81	베타-카로틴	Beta-Carotene	표준명 있음
82	베타인	Betaine	표준명 있음
83	베헤닐알코올	Behenyl Alcohol	표준명 있음
84	벤조페논-3	Benzophenone-3	표준명 있음
85	벤토나이트	Bentonite	표준명 있음
86	변성알코올	Alcohol Denat.	표준명 있음
87	별꽃추출물	Stellaria Media (Chickweed) Extract	표준명 있음
88	병풀뿌리추출물	Centella Asiatica Root Extract	표준명 있음
89	병풀잎수	Centella Asiatica Leaf Water	표준명 있음
90	병풀잎추출물	Centella Asiatica Leaf Extract	표준명 있음
91	병풀추출물	Centella Asiatica Extract	표준명 있음
92	부들레야추출물	Buddleja Davidii Extract	표준명 있음
93	부틸렌글라이콜	Butylene Glycol	표준명 있음
94	부틸메톡시디벤조일메탄	Butyl Methoxydibenzoylmethane	표준명 있음
95	부틸아보카데이트	Butyl Avocadate	표준명 있음
